policyID;county;point_latitube;point_longitube
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY1;30.125.489;30.698.521
123;CLAY COUNTY2;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
123;CLAY COUNTY;30.125.489;30.698.521
